date,close_usd,usd_gbp,close_gbp,daily_ret
2025-01-01,582.887,0.80533,469.4163877099999,0.0
2025-01-02,582.887,0.80533,469.4163877099999,0.0
2025-01-03,590.175,0.80584,475.586622,0.0131444799362479
2025-01-06,593.575,0.79703,473.09708225,-0.005234671529511514
2025-01-07,586.865,0.7978,468.200897,-0.01034921886796314
2025-01-08,587.723,0.81084,476.54931731999994,0.017830850759775307
2025-01-09,587.723,0.81328,477.98336143999995,0.00300922500123324
2025-01-10,578.749,0.81224,470.08308776,-0.016528344535255646
2025-01-13,579.647,0.82526,478.35948322,0.017606239568068727
2025-01-14,580.444,0.82272,477.54288768,-0.0017070750526430034
2025-01-15,591.003,0.81857,483.77732571000007,0.01305524213812137
2025-01-16,589.866,0.82027,483.84938382,0.00014894891961758638
2025-01-17,595.788,0.82009,488.59978092,0.00981792528595471
2025-01-20,595.788,0.81997,488.52828636,-0.0001463254033093886
2025-01-21,601.242,0.81639,490.8479563799999,0.0047482819004887045
2025-01-22,604.622,0.80883,489.03641226,-0.003690642074503092
2025-01-23,607.922,0.81188,493.55971336000005,0.009249415762512037
2025-01-24,606.147,0.80608,488.60297376000005,-0.010042836693975765
2025-01-27,597.573,0.79873,477.29948229,-0.0231343075606254
2025-01-28,602.707,0.8048,485.0585936,0.016256274305543217
2025-01-29,600.006,0.80534,483.20883203999995,-0.003813480648330536
2025-01-30,603.226,0.80443,485.25309118,0.004230591422283547
2025-01-31,600.016,0.80446,482.68887135999995,-0.00528429363276095
2025-02-03,595.978,0.80919,482.25943781999996,-0.0008896694443980557
2025-02-04,599.976,0.80492,482.93268192,0.0013960205798011494
2025-02-05,602.408,0.79721,480.24568168,-0.0055639229660690015
2025-02-06,604.502,0.8078,488.31671559999995,0.01680605204354113
2025-02-07,598.969,0.80325,481.12184925,-0.014734016100922398
2025-02-10,603.036,0.80701,486.65608235999997,0.011502768204410208
2025-02-11,603.495,0.80739,487.25582805000005,0.0012323809600645053
2025-02-12,601.551,0.80365,483.43646115,-0.007838524816183634
2025-02-13,607.902,0.80186,487.45229772000005,0.008306854970035138
2025-02-14,607.872,0.79419,482.76586367999994,-0.009614138782236381
2025-02-17,607.872,0.79378,482.51663616,-0.0005162492602523994
2025-02-18,609.657,0.79473,484.51270761000006,0.00413679301481773
2025-02-19,611.092,0.79392,485.15816063999995,0.001332169455748211
2025-02-20,608.55,0.7931,482.641005,-0.005188319694920507
2025-02-21,598.141,0.79083,473.02784703,-0.019917822709655697
2025-02-24,595.399,0.79142,471.21067658,-0.0038415718258649756
2025-02-25,592.458,0.78983,467.94110214,-0.006938667993964476
2025-02-26,592.757,0.7902,468.39658139999995,0.0009733687806370295
2025-02-27,583.296,0.78909,460.27304064000003,-0.017343296434229494
2025-02-28,592.398,0.79347,470.05004106,0.021241740351347183
2025-03-03,582.02,0.78863,458.9984326,-0.023511557269685124
2025-03-04,575.13,0.7842,451.016946,-0.017388919074927567
2025-03-05,581.312,0.78081,453.89422272,0.0063795312914916025
2025-03-06,570.993,0.77612,443.15908716000007,-0.02365118351951856
2025-03-07,574.193,0.7745,444.7124785,0.003505267938777701
2025-03-10,558.899,0.77316,432.11835084,-0.028319708280908906
2025-03-11,554.253,0.77322,428.55950466,-0.008235813575336315
