date,nav_prev,flow_gbp,denom,nav,r_t_calc,r_port,diff_bp,cum_calc,cum_pipe
2025-01-01,,0.0,,0.0,0.0,,,,
2025-01-02,0.0,0.0,0.0,32093.24418116021,0.0,0.0,0.0,0.0,0.0
2025-01-03,32093.24418116021,0.0,32093.24418116021,32049.56775167908,-0.001360922854498181,-0.001360922854498181,0.0,-0.001360922854498181,-0.001360922854498181
2025-01-04,32049.56775167908,0.0,32049.56775167908,32049.56775167908,0.0,0.0,0.0,-0.001360922854498181,-0.001360922854498181
2025-01-05,32049.56775167908,0.0,32049.56775167908,32049.56775167908,0.0,0.0,0.0,-0.001360922854498181,-0.001360922854498181
2025-01-06,32049.56775167908,0.0,32049.56775167908,32161.660571495755,0.0034974830451748318,0.0034974830451748318,0.0,0.0021318003860673063,0.0021318003860673063
2025-01-07,32161.660571495755,0.0,32161.660571495755,32039.876382120143,-0.003786626287684558,-0.003786626287684558,0.0,-0.0016628982329992548,-0.0016628982329992548
2025-01-08,32039.876382120143,0.0,32039.876382120143,32120.24985765854,0.0025085451198323394,0.0025085451198323394,0.0,0.0008414754315859696,0.0008414754315859696
2025-01-09,32120.24985765854,0.0,32120.24985765854,32491.779804859925,0.011566844867266779,0.011566844867266779,0.0,0.012418053514629435,0.012418053514629435
2025-01-10,32491.779804859925,0.0,32491.779804859925,32356.275244144126,-0.004170425920944187,-0.004170425920944187,0.0,0.00819583902142007,0.00819583902142007
2025-01-11,32356.275244144126,0.0,32356.275244144126,32356.275244144126,0.0,0.0,0.0,0.00819583902142007,0.00819583902142007
2025-01-12,32356.275244144126,0.0,32356.275244144126,32356.275244144126,0.0,0.0,0.0,0.00819583902142007,0.00819583902142007
2025-01-13,32356.275244144126,0.0,32356.275244144126,32100.90960438654,-0.007892306448462505,-0.007892306448462505,0.0,0.00023884849979816103,0.00023884849979816103
2025-01-14,32100.90960438654,0.0,32100.90960438654,31217.7087960034,-0.027513264242906454,-0.027513264242906454,0.0,-0.02728098724499728,-0.02728098724499728
