date,nav_gbp
2025-01-01,0.0
2025-01-02,32093.24418116021
2025-01-03,32049.56775167908
2025-01-04,32049.56775167908
2025-01-05,32049.56775167908
2025-01-06,32161.660571495755
2025-01-07,32039.876382120143
2025-01-08,32120.24985765854
2025-01-09,32491.779804859925
2025-01-10,32356.275244144126
2025-01-11,32356.275244144126
2025-01-12,32356.275244144126
2025-01-13,32100.90960438654
2025-01-14,31217.7087960034
2025-01-15,31926.06339277857
2025-01-16,32436.017411799898
2025-01-17,32841.51051630193
2025-01-18,32841.51051630193
2025-01-19,32841.51051630193
2025-01-20,33042.58908487324
2025-01-21,33632.16941065732
2025-01-22,34102.205223098994
2025-01-23,34047.076045314825
2025-01-24,34022.22686652665
2025-01-25,34022.22686652665
2025-01-26,34022.22686652665
2025-01-27,33735.18776388599
2025-01-28,34156.06221352217
2025-01-29,34282.244382930774
2025-01-30,34763.16017348228
2025-01-31,34729.74297093982
2025-02-01,34729.74297093982
2025-02-02,34729.74297093982
2025-02-03,34883.294561502764
2025-02-04,34962.6289327331
2025-02-05,34452.97585035047
2025-02-06,34414.50194116114
2025-02-07,33764.25115135631
2025-02-08,33764.25115135631
2025-02-09,33764.25115135631
2025-02-10,34153.41172756087
2025-02-11,34307.098165716445
2025-02-12,33913.58819819297
2025-02-13,34094.88892550253
2025-02-14,34078.3341250015
2025-02-15,34078.3341250015
2025-02-16,34078.3341250015
2025-02-17,34121.75479542167
2025-02-18,33810.51656602951
2025-02-19,33704.373452958986
2025-02-20,33463.552282221564
2025-02-21,33362.09102790728
2025-02-22,33362.09102790728
2025-02-23,33362.09102790728
2025-02-24,33115.68570165649
2025-02-25,33005.83008922969
2025-02-26,33170.82941457618
2025-02-27,32938.20978664002
2025-02-28,33871.653216864346
2025-03-01,33871.653216864346
2025-03-02,33871.653216864346
2025-03-03,33501.17619781342
2025-03-04,32928.874810866524
2025-03-05,33442.74415083701
2025-03-06,33400.12183085985
2025-03-07,33414.862381196894
2025-03-08,33414.862381196894
2025-03-09,33414.862381196894
2025-03-10,32809.840118448024
2025-03-11,32382.32330752867
2025-03-12,32976.39014315145
2025-03-13,32685.862549014622
2025-03-14,33433.39410016575
2025-03-15,33433.39410016575
2025-03-16,33433.39410016575
2025-03-17,33077.30083590673
2025-03-18,32356.70659511448
2025-03-19,33040.61357346039
2025-03-20,32993.17815722809
2025-03-21,32909.66108630035
2025-03-22,32909.66108630035
2025-03-23,32909.66108630035
2025-03-24,33238.83536409027
2025-03-25,33171.640754187014
2025-03-26,32805.38790149765
2025-03-27,32434.787412944643
2025-03-28,32103.19713474655
2025-03-29,32103.19713474655
2025-03-30,32103.19713474655
2025-03-31,32819.397762896115
2025-04-01,33231.29470612427
2025-04-02,33047.6361880249
2025-04-03,32064.303048345333
2025-04-04,30839.550241321103
2025-04-05,30839.550241321103
2025-04-06,30839.550241321103
2025-04-07,29856.20551043976
2025-04-08,30775.897497059326
2025-04-09,31531.287222570187
2025-04-10,31906.428351701663
2025-04-11,32244.104419587708
2025-04-12,32244.104419587708
2025-04-13,32244.104419587708
2025-04-14,32674.72282851074
2025-04-15,33077.19462601013
2025-04-16,32897.85597829956
2025-04-17,32880.30337602539
2025-04-18,32880.30337602539
2025-04-19,32880.30337602539
2025-04-20,32880.30337602539
2025-04-21,32880.30337602539
2025-04-22,32985.20694358826
2025-04-23,33466.118126721194
2025-04-24,33662.50851475342
2025-04-25,34237.652944059446
2025-04-26,34237.652944059446
2025-04-27,34237.652944059446
2025-04-28,34178.42038305664
2025-04-29,34282.76644205017
2025-04-30,34750.55836072601
2025-05-01,34527.16567517914
2025-05-02,35275.44866053223
2025-05-03,35275.44866053223
2025-05-04,35275.44866053223
2025-05-05,35269.024615288086
2025-05-06,35302.81028793274
2025-05-07,34714.897737931526
2025-05-08,34837.22882980804
2025-05-09,35277.14041145295
2025-05-10,35277.14041145295
2025-05-11,35277.14041145295
2025-05-12,35563.92812189331
2025-05-13,35731.651352519526
2025-05-14,35876.05635241699
2025-05-15,35727.12601935425
2025-05-16,35976.06041678741
2025-05-17,35976.06041678741
2025-05-18,35976.06041678741
2025-05-19,36183.52529385925
2025-05-20,36321.22068123962
2025-05-21,36646.77145680847
2025-05-22,36465.85389312866
2025-05-23,35724.84277522888
2025-05-24,35724.84277522888
2025-05-25,35724.84277522888
2025-05-26,35724.84277522888
2025-05-27,35875.975447718505
2025-05-28,35754.52524454636
2025-05-29,35950.61422660339
2025-05-30,35869.51224994842
2025-05-31,35869.51224994842
2025-06-01,35869.51224994842
2025-06-02,35856.45954639023
2025-06-03,35612.27485488464
2025-06-04,36362.70189567261
2025-06-05,36521.793788242496
2025-06-06,36948.85807941071
2025-06-07,36948.85807941071
2025-06-08,36948.85807941071
2025-06-09,37026.78937870789
2025-06-10,37268.23565692246
2025-06-11,37542.04272867188
2025-06-12,37670.05822988586
2025-06-13,37358.2077016217
2025-06-14,37358.2077016217
2025-06-15,37358.2077016217
2025-06-16,37316.80968990982
2025-06-17,37255.281367600255
2025-06-18,37212.56568119446
2025-06-19,36853.22849369446
2025-06-20,36481.117069387205
2025-06-21,36481.117069387205
2025-06-22,36481.117069387205
2025-06-23,36458.44754429656
2025-06-24,36035.31347935913
2025-06-25,36341.14146358291
2025-06-26,36385.12587230835
2025-06-27,36881.74891938767
2025-06-28,36881.74891938767
2025-06-29,36881.74891938767
2025-06-30,36904.37190110092
2025-07-01,36848.25682989991
2025-07-02,36460.20147988266
2025-07-03,36798.85613173279
2025-07-04,36784.6067616156
2025-07-05,36784.6067616156
2025-07-06,36784.6067616156
2025-07-07,36857.60817104065
2025-07-08,36645.57071570313
2025-07-09,36965.2802231781
